player_id,full_name,country,atp_rank,atp_points,age,height,hand,hard_win_pct,recent_form_pct,uso_win_pct,avg_aces,avg_df,avg_bp_conv,avg_bp_save,rank_score,uso_score,contender_rank
206173,Jannik Sinner,UNK,1.0,13500.0,23.5,188.0,R,0.7877551020408163,1.0,0.7727272727272727,6.476683937823834,1.8704663212435233,0.49763189349724263,0.7176828265928612,1.0,0.8736136024238003,1
104925,Novak Djokovic,UNK,7.0,3760.0,23.5,188.0,R,0.8702702702702703,0.8,0.8913043478260869,6.1894409937888195,2.4037267080745344,0.4981650123097251,0.6257919702152344,0.952755905511811,0.8532878405212719,2
100644,Alexander Zverev,UNK,3.0,7305.0,23.5,188.0,R,0.690176322418136,0.8,0.7428571428571429,9.68978102189781,3.1350364963503647,0.5029273405723937,0.6923837165720282,0.984251968503937,0.7990137954415077,3
207989,Carlos Alcaraz,UNK,2.0,9960.0,23.5,188.0,R,0.7482014388489209,0.6,0.85,4.240384615384615,1.8653846153846154,0.47251654183721115,0.6629453063276592,0.9921259842519685,0.7889612473960642,4
106421,Daniil Medvedev,UNK,8.0,3760.0,23.5,188.0,R,0.7418546365914787,0.5,0.825,8.554054054054054,3.402027027027027,0.5023743816168352,0.6622966758166892,0.9448818897637795,0.7509117789486798,5
210097,Ben Shelton,UNK,5.0,3920.0,23.5,188.0,R,0.6067415730337079,0.6,0.7,9.87037037037037,3.3333333333333335,0.4808396336174114,0.7070008116883116,0.9685039370078741,0.7266285966260754,6
211663,Joao Fonseca,BRA,25.0,1735.0,20.1,188.0,R,0.875,0.7,0.5,7.142857142857143,0.7142857142857143,0.2917439703153989,0.6133333333333333,0.8110236220472441,0.7223109517966098,7
111575,Karen Khachanov,UNK,15.0,2320.0,23.5,188.0,R,0.580952380952381,0.8,0.5263157894736842,8.73224043715847,2.098360655737705,0.486682097309286,0.6830792689803349,0.889763779527559,0.7096026658318967,8
126203,Taylor Fritz,UNK,9.0,3720.0,23.5,188.0,R,0.6042296072507553,0.6,0.64,10.085,2.405,0.4828342437342723,0.704310931161844,0.937007874015748,0.707517022762219,9
200000,Felix Auger Aliassime,UNK,4.0,4440.0,23.5,188.0,R,0.6008403361344538,0.5,0.5625,10.454545454545455,3.6433566433566433,0.43602438513997543,0.6735779665401515,0.9763779527559056,0.6829785874443913,10
207925,Flavio Cobolli,ITA,10.0,3540.0,24.3,188.0,R,0.5454545454545454,0.5,0.6666666666666666,6.708333333333333,3.8333333333333335,0.5129254426129426,0.7049964528225398,0.9291338582677166,0.6759998886157255,11
210150,Jakub Mensik,CZE,17.0,2300.0,20.8,196.0,R,0.6060606060606061,0.5,0.6666666666666666,11.6,2.9,0.45673718094770727,0.6964101430045703,0.8740157480314961,0.6713772421222143,12
200282,Alex De Minaur,UNK,6.0,3905.0,23.5,188.0,R,0.6430976430976431,0.3,0.6923076923076923,4.549738219895288,2.2931937172774868,0.5157329777979609,0.6410951243755236,0.9606299212598425,0.6706509461071916,13
126094,Andrey Rublev,UNK,13.0,2460.0,23.5,188.0,R,0.6424731182795699,0.3,0.7272727272727273,8.00418410041841,2.3263598326359833,0.48839541702024813,0.7036171899379446,0.905511811023622,0.6609633623157978,14
209950,Arthur Fils,FRA,21.0,1940.0,21.6,185.0,R,0.5846153846153846,0.6,0.5,7.473684210526316,2.736842105263158,0.4415797268290343,0.6644607843137255,0.8425196850393701,0.6492117772227951,15
208103,Jiri Lehecka,CZE,12.0,2575.0,23.9,193.0,R,0.5533980582524272,0.6,0.4,6.982456140350878,2.263157894736842,0.4523962879226037,0.6748454899398295,0.9133858267716536,0.6487273514877246,16
133430,Denis Shapovalov,UNK,42.0,1130.0,23.5,188.0,R,0.5645756457564576,0.7,0.6818181818181818,9.196078431372548,5.052287581699346,0.49152314544243764,0.6882890346407092,0.6771653543307087,0.6455568540152117,17
126205,Tommy Paul,UNK,28.0,1645.0,23.5,188.0,R,0.5990566037735849,0.6,0.5333333333333333,5.929133858267717,2.0078740157480315,0.47112132526036377,0.645386815740798,0.7874015748031495,0.6418100304343991,18
134770,Casper Ruud,UNK,14.0,2425.0,23.5,188.0,R,0.5591397849462365,0.3,0.65,6.740384615384615,1.8942307692307692,0.5052177513777455,0.6699234892634346,0.8976377952755905,0.6253333468512953,19
210506,Alex Michelsen,USA,38.0,1205.0,21.6,193.0,R,0.5370370370370371,0.7,0.5,5.620689655172414,1.9310344827586208,0.5102726775140568,0.665222329111218,0.7086614173228347,0.6206324347873734,20
111815,Cameron Norrie,UNK,29.0,1595.0,23.5,188.0,R,0.56,0.5,0.5625,5.642857142857143,2.6031746031746033,0.5017893376108119,0.6835834258659799,0.7795275590551181,0.6175019058903749,21
126207,Frances Tiafoe,UNK,26.0,1705.0,23.5,188.0,R,0.5333333333333333,0.4,0.6875,8.381578947368421,2.263157894736842,0.4576606972000427,0.6997290506322962,0.8031496062992126,0.615272702614714,22
