player,atp_rank,atp_points,hard_win_pct,recent_form_pct,uso_win_pct,avg_aces,avg_bp_save,avg_bp_conv,uso_score,power_rank,win_title,reach_final,reach_semis,reach_qtrs
Stan Wawrinka,110.0,563.0,0.6317829457364341,0.5,0.7692307692307693,9.14723926380368,0.7136692651575005,0.44114806787990224,0.4735909035099641,57,0.008,0.025,0.047,0.089
Miomir Kecmanovic,49.0,980.0,0.4918918918918919,0.5,0.4,5.054945054945055,0.6600052902937518,0.48031609810859976,0.526603215621437,48,0.007,0.015,0.019,0.052
Brandon Nakashima,32.0,1385.0,0.5590551181102362,0.3,0.5833333333333334,8.971830985915492,0.693195549661067,0.49849055706198564,0.5736197384070187,33,0.007,0.024,0.046,0.092
Tomas Machac,43.0,1120.0,0.5538461538461539,0.6,0.6,5.916666666666667,0.7317577030812324,0.527669183480587,0.6122202843644327,25,0.007,0.02,0.028,0.074
Reilly Opelka,86.0,718.0,0.5390070921985816,0.3,0.5,20.210526315789473,0.755894004984914,0.4274430816097483,0.42813122580457535,70,0.006,0.012,0.016,0.048
Francisco Cerundolo,27.0,1660.0,0.4666666666666667,0.6,0.4,4.571428571428571,0.6859570984570984,0.5510280195994481,0.5970985997348484,29,0.005,0.014,0.021,0.05
Roberto Bautista Agut,116.0,542.0,0.631578947368421,0.6,0.5714285714285714,3.8596491228070176,0.6637965229665155,0.49959386890094076,0.45012499884267715,61,0.005,0.017,0.035,0.084
Matteo Berrettini,48.0,985.0,0.5562913907284768,0.6,0.72,11.857142857142858,0.6925304905697063,0.46718951760968563,0.6140352260438448,24,0.005,0.019,0.029,0.075
Cameron Norrie,29.0,1595.0,0.56,0.5,0.5625,5.642857142857143,0.6835834258659799,0.5017893376108119,0.6175019058903749,22,0.005,0.017,0.03,0.079
Hubert Hurkacz,96.0,640.0,0.6081632653061224,0.5,0.46153846153846156,12.302013422818792,0.7091690394625618,0.4537235552533618,0.45500676647419835,59,0.005,0.017,0.03,0.07
Adrian Mannarino,46.0,1031.0,0.5068493150684932,0.4,0.47368421052631576,5.935135135135135,0.6536600960932512,0.5134945257747368,0.5298234788410447,47,0.003,0.01,0.02,0.052
Alexander Shevchenko,97.0,633.0,0.46296296296296297,0.5,0.3333333333333333,6.6,0.6568828162578163,0.44846037296037294,0.3942362466583431,84,0.003,0.006,0.008,0.027
Arthur Cazaux,81.0,757.0,0.45,0.5,0.3333333333333333,10.222222222222221,0.6187499999999999,0.5074675324675325,0.42983449867062073,69,0.003,0.005,0.006,0.027
Jack Draper,112.0,560.0,0.625,0.8,0.7692307692307693,8.581818181818182,0.7316875716875717,0.5308187682786613,0.5325552079734782,44,0.003,0.019,0.032,0.072
Ugo Humbert,33.0,1370.0,0.5714285714285714,0.7,0.3,7.5673076923076925,0.7080117949683167,0.4455125395594853,0.6099428084024306,26,0.003,0.021,0.034,0.083
