tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,data_year,tourney_year,tourney_month,rank_diff,is_upset,w_1st_pct,l_1st_pct,w_bp_conv,w_bp_save
2015-560,US Open,Hard,G,2015-08-31,1,104925,Novak Djokovic,R,188.0,SRB,28.2,1.0,14865.0,105154,Joao Souza,R,193.0,BRA,27.2,91.0,554.0,6-1 6-1 6-1,5,R128,156.0,8.0,0.0,52.0,39.0,36.0,8.0,11.0,0.0,0.0,3.0,2.0,57.0,31.0,17.0,7.0,10.0,3.0,10.0,2015,2015,8,90.0,0,0.75,0.543859649122807,0.7,
2015-560,US Open,Hard,G,2015-08-31,2,104890,Andreas Haider Maurer,R,190.0,AUT,28.4,52.0,870.0,105577,Vasek Pospisil,R,193.0,CAN,25.1,45.0,1000.0,6-4 3-6 6-7(0) 6-0 6-1,5,R128,156.0,12.0,10.0,120.0,61.0,50.0,35.0,20.0,3.0,4.0,24.0,16.0,186.0,110.0,79.0,28.0,22.0,19.0,25.0,2015,2015,8,-7.0,1,0.5083333333333333,0.5913978494623656,0.24,0.75
2015-560,US Open,Hard,G,2015-08-31,3,104559,Teymuraz Gabashvili,R,185.0,RUS,30.2,53.0,867.0,104665,Pablo Andujar,R,180.0,ESP,29.6,49.0,945.0,7-6(6) 0-6 4-6 6-4 RET,5,R128,156.0,7.0,5.0,129.0,70.0,46.0,31.0,20.0,11.0,16.0,12.0,10.0,149.0,80.0,54.0,26.0,19.0,7.0,15.0,2015,2015,8,-4.0,1,0.5426356589147286,0.5369127516778524,0.5333333333333333,0.6875
2015-560,US Open,Hard,G,2015-08-31,4,104312,Andreas Seppi,R,190.0,ITA,31.5,25.0,1430.0,126205,Tommy Paul,R,185.0,USA,18.2,437.0,93.0,6-4 6-0 7-5,5,R128,156.0,6.0,6.0,83.0,42.0,31.0,22.0,14.0,4.0,7.0,0.0,2.0,88.0,53.0,29.0,12.0,14.0,5.0,13.0,2015,2015,8,412.0,0,0.5060240963855421,0.6022727272727273,0.6153846153846154,0.5714285714285714
2015-560,US Open,Hard,G,2015-08-31,5,105138,Roberto Bautista Agut,R,183.0,ESP,27.3,23.0,1510.0,105732,Pierre Hugues Herbert,R,188.0,FRA,24.4,92.0,551.0,6-3 6-2 7-6(7),5,R128,156.0,4.0,5.0,104.0,59.0,44.0,32.0,15.0,5.0,5.0,17.0,3.0,103.0,54.0,39.0,23.0,14.0,2.0,5.0,2015,2015,8,69.0,0,0.5673076923076923,0.5242718446601942,0.6,1.0
2015-560,US Open,Hard,G,2015-08-31,6,105807,Pablo Carreno Busta,R,188.0,ESP,24.1,54.0,855.0,105668,Jerzy Janowicz,R,203.0,POL,24.7,61.0,790.0,6-3 4-6 6-2 6-4,5,R128,156.0,9.0,0.0,113.0,67.0,48.0,31.0,19.0,7.0,9.0,16.0,1.0,113.0,72.0,49.0,20.0,18.0,3.0,8.0,2015,2015,8,7.0,0,0.5929203539823009,0.6371681415929203,0.625,0.7777777777777778
2015-560,US Open,Hard,G,2015-08-31,7,105575,Ricardas Berankis,R,175.0,LTU,25.1,78.0,661.0,105311,Joao Sousa,R,185.0,POR,26.4,46.0,986.0,6-2 6-2 4-6 2-6 7-6(4),5,R128,156.0,8.0,7.0,151.0,75.0,55.0,41.0,23.0,9.0,13.0,6.0,6.0,165.0,101.0,69.0,29.0,23.0,15.0,20.0,2015,2015,8,-32.0,1,0.4966887417218543,0.6121212121212121,0.25,0.6923076923076923
2015-560,US Open,Hard,G,2015-08-31,8,105676,David Goffin,R,180.0,BEL,24.7,15.0,2130.0,104620,Simone Bolelli,R,183.0,ITA,29.8,62.0,785.0,6-4 6-1 6-2,5,R128,156.0,13.0,2.0,62.0,33.0,29.0,21.0,12.0,3.0,3.0,7.0,6.0,78.0,48.0,28.0,12.0,13.0,3.0,9.0,2015,2015,8,47.0,0,0.532258064516129,0.6153846153846154,0.6666666666666666,1.0
2015-560,US Open,Hard,G,2015-08-31,9,105683,Milos Raonic,R,196.0,CAN,24.6,10.0,2880.0,105065,Tim Smyczek,R,175.0,USA,27.6,99.0,535.0,6-4 7-6(8) 6-1,5,R128,156.0,17.0,6.0,96.0,47.0,39.0,32.0,15.0,6.0,6.0,6.0,3.0,102.0,67.0,43.0,17.0,14.0,3.0,6.0,2015,2015,8,89.0,0,0.4895833333333333,0.6568627450980392,0.5,1.0
2015-560,US Open,Hard,G,2015-08-31,10,104269,Fernando Verdasco,L,188.0,ESP,31.7,42.0,1020.0,103163,Tommy Haas,R,188.0,GER,37.4,506.0,73.0,3-6 6-1 6-7(3) 6-3 6-1,5,R128,156.0,21.0,7.0,122.0,71.0,57.0,30.0,22.0,4.0,7.0,1.0,9.0,128.0,81.0,51.0,25.0,22.0,5.0,13.0,2015,2015,8,464.0,0,0.5819672131147541,0.6328125,0.6153846153846154,0.5714285714285714
2015-560,US Open,Hard,G,2015-08-31,11,103888,Mardy Fish,R,188.0,USA,33.7,581.0,55.0,106065,Marco Cecchinato,R,185.0,ITA,22.9,106.0,521.0,6-7(5) 6-3 6-1 6-3,5,R128,156.0,13.0,6.0,132.0,77.0,64.0,25.0,19.0,8.0,10.0,7.0,5.0,110.0,67.0,42.0,19.0,18.0,4.0,11.0,2015,2015,8,-475.0,1,0.5833333333333334,0.6090909090909091,0.6363636363636364,0.8
2015-560,US Open,Hard,G,2015-08-31,12,103852,Feliciano Lopez,L,188.0,ESP,33.9,19.0,1665.0,105932,Nikoloz Basilashvili,R,185.0,GEO,23.5,101.0,534.0,7-6(5) 6-1 6-3,5,R128,156.0,11.0,8.0,80.0,47.0,39.0,17.0,14.0,2.0,4.0,2.0,6.0,84.0,57.0,35.0,11.0,14.0,7.0,13.0,2015,2015,8,82.0,0,0.5875,0.6785714285714286,0.46153846153846156,0.5
2015-560,US Open,Hard,G,2015-08-31,13,104926,Fabio Fognini,R,178.0,ITA,28.2,32.0,1165.0,105449,Steve Johnson,R,188.0,USA,25.6,47.0,985.0,2-6 6-3 6-4 7-6(2),5,R128,156.0,8.0,12.0,133.0,56.0,44.0,32.0,19.0,8.0,14.0,14.0,13.0,138.0,75.0,49.0,29.0,20.0,5.0,12.0,2015,2015,8,15.0,0,0.42105263157894735,0.5434782608695652,0.5833333333333334,0.5714285714285714
2015-560,US Open,Hard,G,2015-08-31,14,104655,Pablo Cuevas,R,180.0,URU,29.6,40.0,1065.0,104534,Dudi Sela,R,175.0,ISR,30.4,104.0,527.0,6-2 3-6 6-4 6-1,5,R128,156.0,11.0,6.0,118.0,67.0,52.0,21.0,17.0,10.0,12.0,2.0,7.0,106.0,52.0,34.0,29.0,17.0,7.0,13.0,2015,2015,8,64.0,0,0.5677966101694916,0.49056603773584906,0.46153846153846156,0.8333333333333334
2015-560,US Open,Hard,G,2015-08-31,15,106043,Diego Schwartzman,R,170.0,ARG,23.0,74.0,685.0,111200,Elias Ymer,R,185.0,SWE,19.3,144.0,385.0,6-3 6-2 6-2,5,R128,156.0,2.0,1.0,63.0,33.0,28.0,25.0,13.0,2.0,2.0,9.0,6.0,100.0,60.0,37.0,15.0,12.0,11.0,16.0,2015,2015,8,70.0,0,0.5238095238095238,0.6,0.3125,1.0
2015-560,US Open,Hard,G,2015-08-31,16,104745,Rafael Nadal,L,185.0,ESP,29.2,8.0,3680.0,106432,Borna Coric,R,188.0,CRO,18.7,33.0,1151.0,6-3 6-2 4-6 6-4,5,R128,156.0,6.0,4.0,100.0,73.0,62.0,11.0,19.0,0.0,2.0,9.0,3.0,102.0,54.0,33.0,29.0,18.0,2.0,7.0,2015,2015,8,25.0,0,0.73,0.5294117647058824,0.7142857142857143,0.0
2015-560,US Open,Hard,G,2015-08-31,17,105332,Benoit Paire,R,196.0,FRA,26.3,41.0,1052.0,105453,Kei Nishikori,R,178.0,JPN,25.6,4.0,6205.0,6-4 3-6 4-6 7-6(6) 6-4,5,R128,156.0,22.0,5.0,155.0,98.0,76.0,33.0,25.0,7.0,9.0,4.0,5.0,159.0,108.0,78.0,35.0,26.0,6.0,8.0,2015,2015,8,-37.0,1,0.632258064516129,0.6792452830188679,0.25,0.7777777777777778
2015-560,US Open,Hard,G,2015-08-31,18,104947,Marsel Ilhan,R,191.0,TUR,28.2,84.0,618.0,103285,Radek Stepanek,R,185.0,CZE,36.7,285.0,167.0,6-0 2-6 6-4 3-2 RET,5,R128,156.0,13.0,1.0,106.0,65.0,46.0,19.0,15.0,6.0,9.0,6.0,4.0,93.0,45.0,32.0,21.0,15.0,3.0,8.0,2015,2015,8,201.0,0,0.6132075471698113,0.4838709677419355,0.625,0.6666666666666666
2015-560,US Open,Hard,G,2015-08-31,19,105032,Sam Groth,R,193.0,AUS,27.8,55.0,843.0,105238,Alexandr Dolgopolov,R,180.0,UKR,26.8,39.0,1115.0,4-6 6-1 7-5 RET,5,R128,156.0,15.0,7.0,97.0,50.0,37.0,24.0,15.0,3.0,5.0,1.0,2.0,82.0,52.0,36.0,15.0,14.0,4.0,8.0,2015,2015,8,-16.0,1,0.5154639175257731,0.6341463414634146,0.5,0.6
2015-560,US Open,Hard,G,2015-08-31,20,103990,Tommy Robredo,R,180.0,ESP,33.3,26.0,1405.0,103582,Michael Berrer,L,193.0,GER,35.1,121.0,463.0,6-2 6-2 6-4,5,R128,156.0,9.0,1.0,60.0,35.0,33.0,19.0,13.0,0.0,0.0,8.0,7.0,82.0,38.0,30.0,17.0,13.0,3.0,8.0,2015,2015,8,95.0,0,0.5833333333333334,0.4634146341463415,0.625,
2015-560,US Open,Hard,G,2015-08-31,21,104542,Jo-Wilfried Tsonga,R,188.0,FRA,30.3,18.0,1675.0,103813,Jarkko Nieminen,L,185.0,FIN,34.1,105.0,521.0,6-3 6-1 6-1,5,R128,156.0,16.0,1.0,70.0,37.0,32.0,21.0,12.0,0.0,0.0,1.0,3.0,71.0,31.0,20.0,15.0,11.0,3.0,9.0,2015,2015,8,87.0,0,0.5285714285714286,0.43661971830985913,0.6666666666666666,
2015-560,US Open,Hard,G,2015-08-31,22,104719,Marcel Granollers,R,191.0,ESP,29.3,77.0,665.0,105041,Lukas Lacko,R,185.0,SVK,27.8,116.0,477.0,6-2 6-3 6-1,5,R128,156.0,6.0,4.0,79.0,49.0,39.0,16.0,12.0,3.0,3.0,2.0,3.0,72.0,45.0,26.0,12.0,12.0,3.0,9.0,2015,2015,8,39.0,0,0.620253164556962,0.625,0.6666666666666666,1.0
2015-560,US Open,Hard,G,2015-08-31,23,104660,Sergiy Stakhovsky,R,193.0,UKR,29.6,60.0,804.0,105357,John Millman,R,183.0,AUS,26.2,72.0,701.0,6-1 3-6 7-6(3) 6-4,5,R128,156.0,16.0,4.0,118.0,74.0,57.0,24.0,19.0,5.0,7.0,1.0,4.0,121.0,76.0,52.0,25.0,19.0,8.0,12.0,2015,2015,8,12.0,0,0.6271186440677966,0.628099173553719,0.3333333333333333,0.7142857142857143
2015-560,US Open,Hard,G,2015-08-31,24,105011,Illya Marchenko,R,185.0,UKR,27.9,120.0,465.0,104792,Gael Monfils,R,193.0,FRA,28.9,16.0,1850.0,2-6 6-4 5-0 RET,5,R128,156.0,5.0,3.0,86.0,50.0,35.0,15.0,12.0,6.0,9.0,3.0,2.0,64.0,37.0,23.0,13.0,12.0,0.0,4.0,2015,2015,8,-104.0,1,0.5813953488372093,0.578125,1.0,0.6666666666666666
2015-560,US Open,Hard,G,2015-08-31,25,105227,Marin Cilic,R,198.0,CRO,26.9,9.0,3550.0,105550,Guido Pella,L,183.0,ARG,25.2,94.0,546.0,6-3 7-6(3) 7-6(3),5,R128,156.0,13.0,2.0,93.0,54.0,46.0,26.0,17.0,0.0,1.0,6.0,3.0,97.0,71.0,54.0,14.0,16.0,5.0,7.0,2015,2015,8,85.0,0,0.5806451612903226,0.7319587628865979,0.2857142857142857,0.0
2015-560,US Open,Hard,G,2015-08-31,26,105539,Evgeny Donskoy,R,185.0,RUS,25.3,139.0,402.0,106298,Lucas Pouille,R,185.0,FRA,21.5,65.0,753.0,6-2 6-7(3) 6-2 6-4,5,R128,156.0,13.0,2.0,119.0,72.0,59.0,24.0,19.0,8.0,10.0,7.0,4.0,126.0,61.0,42.0,31.0,19.0,11.0,18.0,2015,2015,8,-74.0,1,0.6050420168067226,0.48412698412698413,0.3888888888888889,0.8
2015-560,US Open,Hard,G,2015-08-31,27,105062,Mikhail Kukushkin,R,183.0,KAZ,27.6,56.0,842.0,104229,Yen Hsun Lu,R,180.0,TPE,32.0,97.0,539.0,6-3 6-3 3-0 RET,5,R128,156.0,4.0,0.0,50.0,27.0,24.0,16.0,10.0,0.0,0.0,6.0,3.0,65.0,41.0,26.0,9.0,11.0,2.0,7.0,2015,2015,8,41.0,0,0.54,0.6307692307692307,0.7142857142857143,
2015-560,US Open,Hard,G,2015-08-31,28,105777,Grigor Dimitrov,R,191.0,BUL,24.2,17.0,1735.0,105051,Matthew Ebden,R,188.0,AUS,27.7,131.0,428.0,6-4 6-2 6-4,5,R128,156.0,10.0,0.0,71.0,44.0,37.0,22.0,14.0,1.0,1.0,1.0,7.0,83.0,43.0,32.0,15.0,14.0,3.0,7.0,2015,2015,8,114.0,0,0.6197183098591549,0.5180722891566265,0.5714285714285714,1.0
2015-560,US Open,Hard,G,2015-08-31,29,104871,Jeremy Chardy,R,188.0,FRA,28.5,27.0,1300.0,126152,Ryan Shane,R,193.0,USA,21.3,1410.0,3.0,6-2 6-1 6-7(6) 6-2,5,R128,156.0,8.0,4.0,105.0,67.0,54.0,25.0,18.0,5.0,6.0,17.0,13.0,119.0,60.0,47.0,20.0,17.0,4.0,11.0,2015,2015,8,1383.0,0,0.638095238095238,0.5042016806722689,0.6363636363636364,0.8333333333333334
2015-560,US Open,Hard,G,2015-08-31,30,105373,Martin Klizan,L,191.0,SVK,26.1,36.0,1125.0,104252,Florian Mayer,R,190.0,GER,31.9,216.0,226.0,6-7(5) 6-3 6-3 3-0 RET,5,R128,156.0,5.0,6.0,99.0,46.0,37.0,30.0,17.0,3.0,5.0,7.0,5.0,136.0,74.0,47.0,27.0,17.0,12.0,18.0,2015,2015,8,180.0,0,0.46464646464646464,0.5441176470588235,0.3333333333333333,0.6
2015-560,US Open,Hard,G,2015-08-31,31,105936,Filip Krajinovic,R,185.0,SRB,23.5,102.0,534.0,105292,Alejandro Gonzalez,R,190.0,COL,26.5,119.0,470.0,6-4 6-0 6-4,5,R128,156.0,4.0,5.0,76.0,43.0,34.0,17.0,13.0,4.0,6.0,4.0,3.0,82.0,46.0,22.0,16.0,13.0,2.0,9.0,2015,2015,8,17.0,0,0.5657894736842105,0.5609756097560976,0.7777777777777778,0.6666666666666666
2015-560,US Open,Hard,G,2015-08-31,32,103970,David Ferrer,R,175.0,ESP,33.4,7.0,3695.0,105430,Radu Albot,R,175.0,MDA,25.8,86.0,591.0,4-6 7-5 6-1 6-0,5,R128,156.0,3.0,2.0,108.0,65.0,42.0,28.0,17.0,7.0,10.0,1.0,6.0,125.0,84.0,52.0,10.0,18.0,11.0,20.0,2015,2015,8,79.0,0,0.6018518518518519,0.672,0.45,0.7
2015-560,US Open,Hard,G,2015-08-31,33,104527,Stan Wawrinka,R,183.0,SUI,30.4,5.0,5710.0,105077,Albert Ramos,L,188.0,ESP,27.6,58.0,836.0,7-5 6-4 7-6(6),5,R128,156.0,9.0,9.0,122.0,67.0,50.0,27.0,17.0,4.0,7.0,4.0,1.0,102.0,64.0,38.0,24.0,17.0,7.0,12.0,2015,2015,8,53.0,0,0.5491803278688525,0.6274509803921569,0.4166666666666667,0.5714285714285714
2015-560,US Open,Hard,G,2015-08-31,34,111202,Hyeon Chung,R,188.0,KOR,19.2,69.0,721.0,105902,James Duckworth,R,183.0,AUS,23.6,95.0,544.0,6-3 6-1 6-2,5,R128,156.0,10.0,1.0,65.0,45.0,35.0,14.0,12.0,0.0,0.0,10.0,8.0,81.0,31.0,19.0,20.0,12.0,5.0,11.0,2015,2015,8,26.0,0,0.6923076923076923,0.38271604938271603,0.5454545454545454,
2015-560,US Open,Hard,G,2015-08-31,35,105074,Ruben Bemelmans,L,183.0,BEL,27.6,107.0,520.0,104180,Gilles Muller,L,193.0,LUX,32.3,44.0,1005.0,6-4 1-6 6-4 6-4,5,R128,156.0,13.0,6.0,113.0,62.0,48.0,25.0,19.0,7.0,10.0,20.0,8.0,111.0,59.0,43.0,30.0,18.0,5.0,8.0,2015,2015,8,-63.0,1,0.5486725663716814,0.5315315315315315,0.375,0.7
2015-560,US Open,Hard,G,2015-08-31,36,106058,Jack Sock,R,191.0,USA,22.9,28.0,1250.0,103607,Victor Estrella,R,173.0,DOM,35.0,50.0,906.0,6-2 6-3 6-2,5,R128,156.0,2.0,5.0,71.0,42.0,30.0,21.0,13.0,2.0,3.0,2.0,4.0,71.0,48.0,29.0,7.0,12.0,4.0,10.0,2015,2015,8,22.0,0,0.5915492957746479,0.676056338028169,0.6,0.6666666666666666
2015-560,US Open,Hard,G,2015-08-31,37,104678,Viktor Troicki,R,193.0,SRB,29.5,22.0,1559.0,126207,Frances Tiafoe,R,188.0,USA,17.6,257.0,188.0,7-5 6-4 6-3,5,R128,156.0,17.0,1.0,98.0,58.0,43.0,22.0,16.0,5.0,7.0,5.0,4.0,93.0,46.0,33.0,22.0,15.0,5.0,10.0,2015,2015,8,235.0,0,0.5918367346938775,0.4946236559139785,0.5,0.7142857142857143
2015-560,US Open,Hard,G,2015-08-31,38,104330,Rajeev Ram,R,193.0,USA,31.4,88.0,570.0,105992,Ryan Harrison,R,185.0,USA,23.3,133.0,425.0,7-6(3) 6-4 6-1,5,R128,156.0,9.0,3.0,116.0,67.0,53.0,24.0,15.0,6.0,7.0,3.0,6.0,93.0,50.0,35.0,21.0,14.0,5.0,9.0,2015,2015,8,45.0,0,0.5775862068965517,0.5376344086021505,0.4444444444444444,0.8571428571428571
2015-560,US Open,Hard,G,2015-08-31,39,105379,Aljaz Bedene,R,181.0,SLO,26.1,57.0,841.0,105208,Ernests Gulbis,R,190.0,LAT,27.0,67.0,745.0,3-6 6-4 3-0 RET,5,R128,156.0,7.0,4.0,60.0,34.0,31.0,10.0,11.0,2.0,4.0,17.0,11.0,80.0,43.0,33.0,14.0,11.0,9.0,12.0,2015,2015,8,10.0,0,0.5666666666666667,0.5375,0.25,0.5
2015-560,US Open,Hard,G,2015-08-31,40,105385,Donald Young,L,183.0,USA,26.1,68.0,730.0,104468,Gilles Simon,R,183.0,FRA,30.6,11.0,2730.0,2-6 4-6 6-4 6-4 6-4,5,R128,156.0,3.0,12.0,172.0,93.0,62.0,33.0,24.0,21.0,30.0,11.0,11.0,139.0,78.0,53.0,30.0,24.0,5.0,14.0,2015,2015,8,-57.0,1,0.5406976744186046,0.5611510791366906,0.6428571428571429,0.7
2015-560,US Open,Hard,G,2015-08-31,41,104731,Kevin Anderson,R,203.0,RSA,29.2,14.0,2160.0,126094,Andrey Rublev,R,188.0,RUS,17.8,198.0,244.0,7-6(1) 6-7(5) 7-5 6-3,5,R128,156.0,32.0,6.0,138.0,85.0,74.0,28.0,23.0,3.0,4.0,5.0,9.0,150.0,81.0,57.0,38.0,22.0,7.0,10.0,2015,2015,8,184.0,0,0.6159420289855072,0.54,0.3,0.75
2015-560,US Open,Hard,G,2015-08-31,42,105572,Austin Krajicek,L,188.0,USA,25.2,117.0,474.0,105053,Santiago Giraldo,R,188.0,COL,27.7,59.0,815.0,3-6 7-6(6) 7-6(6) 7-6(1),5,R128,156.0,23.0,3.0,162.0,100.0,79.0,31.0,22.0,8.0,10.0,12.0,4.0,151.0,88.0,66.0,37.0,23.0,2.0,3.0,2015,2015,8,-58.0,1,0.6172839506172839,0.5827814569536424,0.3333333333333333,0.8
2015-560,US Open,Hard,G,2015-08-31,43,104797,Denis Istomin,R,185.0,UZB,28.9,70.0,716.0,103794,Benjamin Becker,R,178.0,GER,34.2,73.0,700.0,6-7(9) 6-4 6-4 6-1,5,R128,156.0,11.0,2.0,119.0,67.0,48.0,33.0,19.0,9.0,12.0,7.0,13.0,137.0,72.0,50.0,28.0,20.0,10.0,18.0,2015,2015,8,3.0,0,0.5630252100840336,0.5255474452554745,0.4444444444444444,0.75
2015-560,US Open,Hard,G,2015-08-31,44,106233,Dominic Thiem,R,185.0,AUT,21.9,20.0,1645.0,104593,Daniel Gimeno Traver,R,185.0,ESP,30.0,76.0,669.0,7-5 6-3 7-5,5,R128,156.0,3.0,3.0,97.0,62.0,46.0,23.0,17.0,3.0,4.0,5.0,5.0,89.0,51.0,36.0,22.0,16.0,2.0,6.0,2015,2015,8,56.0,0,0.6391752577319587,0.5730337078651685,0.6666666666666666,0.75
2015-560,US Open,Hard,G,2015-08-31,45,105064,Thomaz Bellucci,L,188.0,BRA,27.6,30.0,1190.0,104868,James Ward,R,190.0,GBR,28.5,135.0,421.0,6-1 7-5 6-3,5,R128,156.0,6.0,4.0,89.0,46.0,36.0,27.0,14.0,5.0,5.0,8.0,5.0,94.0,49.0,37.0,16.0,14.0,7.0,12.0,2015,2015,8,105.0,0,0.5168539325842697,0.5212765957446809,0.4166666666666667,1.0
2015-560,US Open,Hard,G,2015-08-31,46,106415,Yoshihito Nishioka,L,170.0,JPN,19.9,128.0,430.0,103908,Paul Henri Mathieu,R,185.0,FRA,33.6,80.0,638.0,6-4 2-6 6-7(7) 6-1 6-2,5,R128,156.0,9.0,5.0,128.0,81.0,57.0,30.0,23.0,1.0,5.0,18.0,8.0,153.0,72.0,51.0,39.0,22.0,11.0,18.0,2015,2015,8,-48.0,1,0.6328125,0.47058823529411764,0.3888888888888889,0.2
2015-560,US Open,Hard,G,2015-08-31,47,105173,Adrian Mannarino,L,180.0,FRA,27.1,35.0,1140.0,104505,Konstantin Kravchuk,R,190.0,RUS,30.5,155.0,337.0,7-6(6) 6-4 6-1,5,R128,156.0,9.0,2.0,112.0,60.0,48.0,26.0,15.0,8.0,11.0,10.0,3.0,107.0,57.0,34.0,24.0,14.0,5.0,11.0,2015,2015,8,120.0,0,0.5357142857142857,0.5327102803738317,0.5454545454545454,0.7272727272727273
2015-560,US Open,Hard,G,2015-08-31,48,104918,Andy Murray,R,191.0,GBR,28.2,3.0,8840.0,106401,Nick Kyrgios,R,193.0,AUS,20.3,37.0,1120.0,7-5 6-3 4-6 6-1,5,R128,156.0,17.0,2.0,125.0,73.0,52.0,28.0,19.0,11.0,14.0,11.0,3.0,109.0,67.0,43.0,18.0,19.0,8.0,15.0,2015,2015,8,34.0,0,0.584,0.6146788990825688,0.4666666666666667,0.7857142857142857
2015-560,US Open,Hard,G,2015-08-31,49,104607,Tomas Berdych,R,196.0,CZE,29.9,6.0,5230.0,106216,Bjorn Fratangelo,R,183.0,USA,22.1,113.0,491.0,6-3 6-2 6-4,5,R128,156.0,13.0,1.0,83.0,45.0,39.0,22.0,14.0,6.0,7.0,3.0,8.0,87.0,37.0,24.0,23.0,13.0,1.0,6.0,2015,2015,8,107.0,0,0.5421686746987951,0.42528735632183906,0.8333333333333334,0.8571428571428571
2015-560,US Open,Hard,G,2015-08-31,50,103781,Jurgen Melzer,L,183.0,AUT,34.2,132.0,426.0,106045,Denis Kudla,R,180.0,USA,23.0,75.0,681.0,6-3 7-5 6-1,5,R128,156.0,3.0,4.0,90.0,55.0,40.0,17.0,14.0,8.0,11.0,7.0,5.0,93.0,50.0,27.0,19.0,14.0,12.0,20.0,2015,2015,8,-57.0,1,0.6111111111111112,0.5376344086021505,0.4,0.7272727272727273
2015-560,US Open,Hard,G,2015-08-31,51,103917,Nicolas Mahut,R,191.0,FRA,33.6,64.0,767.0,105023,Sam Querrey,R,198.0,USA,27.8,38.0,1120.0,7-5 7-6(6) 7-5,5,R128,156.0,13.0,6.0,127.0,79.0,55.0,33.0,18.0,5.0,5.0,18.0,8.0,105.0,61.0,51.0,24.0,18.0,1.0,3.0,2015,2015,8,-26.0,1,0.6220472440944882,0.580952380952381,0.6666666666666666,1.0
2015-560,US Open,Hard,G,2015-08-31,52,104198,Guillermo Garcia Lopez,R,188.0,ESP,32.2,31.0,1190.0,104386,Janko Tipsarevic,R,180.0,SRB,31.1,429.0,96.0,7-6(4) 4-6 4-6 6-3 6-1,5,R128,156.0,18.0,9.0,166.0,89.0,69.0,38.0,24.0,12.0,16.0,10.0,9.0,154.0,80.0,57.0,36.0,24.0,9.0,15.0,2015,2015,8,398.0,0,0.536144578313253,0.5194805194805194,0.4,0.75
2015-560,US Open,Hard,G,2015-08-31,53,106071,Bernard Tomic,R,196.0,AUS,22.8,24.0,1465.0,106000,Damir Dzumhur,R,175.0,BIH,23.2,98.0,537.0,5-7 7-6(4) 6-4 6-3,5,R128,156.0,16.0,3.0,138.0,85.0,62.0,28.0,22.0,7.0,12.0,6.0,4.0,136.0,85.0,61.0,19.0,21.0,8.0,14.0,2015,2015,8,74.0,0,0.6159420289855072,0.625,0.42857142857142855,0.5833333333333334
2015-560,US Open,Hard,G,2015-08-31,54,103720,Lleyton Hewitt,R,180.0,AUS,34.5,355.0,130.0,104873,Aleksandr Nedovyesov,R,188.0,KAZ,28.5,100.0,535.0,6-0 7-6(2) 1-0 RET,5,R128,156.0,3.0,4.0,73.0,32.0,26.0,22.0,10.0,7.0,8.0,4.0,4.0,61.0,31.0,18.0,9.0,10.0,0.0,4.0,2015,2015,8,-255.0,1,0.4383561643835616,0.5081967213114754,1.0,0.875
2015-560,US Open,Hard,G,2015-08-31,55,104898,Robin Haase,R,191.0,NED,28.4,79.0,645.0,104460,Dustin Brown,R,196.0,JAM,30.7,85.0,614.0,4-6 4-6 6-3 7-5 6-4,5,R128,156.0,16.0,7.0,151.0,86.0,65.0,33.0,26.0,6.0,11.0,18.0,20.0,159.0,92.0,72.0,26.0,25.0,5.0,11.0,2015,2015,8,6.0,0,0.5695364238410596,0.5786163522012578,0.5454545454545454,0.5454545454545454
2015-560,US Open,Hard,G,2015-08-31,56,104755,Richard Gasquet,R,183.0,FRA,29.2,12.0,2240.0,106423,Thanasi Kokkinakis,R,193.0,AUS,19.3,71.0,709.0,4-6 6-1 4-6 6-3 2-0 RET,5,R128,156.0,7.0,4.0,110.0,71.0,55.0,19.0,19.0,2.0,5.0,15.0,3.0,115.0,65.0,46.0,22.0,19.0,7.0,13.0,2015,2015,8,59.0,0,0.6454545454545455,0.5652173913043478,0.46153846153846156,0.4
2015-560,US Open,Hard,G,2015-08-31,57,104545,John Isner,R,208.0,USA,30.3,13.0,2235.0,104291,Malek Jaziri,R,185.0,TUN,31.6,81.0,637.0,6-2 6-3 6-4,5,R128,156.0,25.0,3.0,69.0,42.0,41.0,15.0,14.0,0.0,0.0,0.0,5.0,91.0,31.0,19.0,32.0,13.0,7.0,11.0,2015,2015,8,68.0,0,0.6086956521739131,0.34065934065934067,0.36363636363636365,
2015-560,US Open,Hard,G,2015-08-31,58,104022,Mikhail Youzhny,R,183.0,RUS,33.1,93.0,546.0,105441,John Patrick Smith,L,188.0,AUS,26.5,122.0,463.0,6-1 3-6 7-5 7-6(4),5,R128,156.0,10.0,9.0,113.0,68.0,51.0,24.0,20.0,1.0,5.0,10.0,6.0,129.0,69.0,50.0,22.0,20.0,5.0,11.0,2015,2015,8,29.0,0,0.6017699115044248,0.5348837209302325,0.5454545454545454,0.2
