player,hard_wins,hard_losses,hard_total,hard_win_pct,avg_aces,avg_df,avg_bp_conv,avg_bp_save,avg_1st_pct,recent_form_pct,uso_wins,uso_win_pct,atp_rank,atp_points,rank_score,uso_score,power_rank
Aleksandar Kovacevic,13.0,22.0,35.0,0.37142857142857144,11.307692307692308,3.4615384615384617,0.5885031635031635,0.6816509879009879,0.6110182408479934,0.5,0.0,0.0,69.0,837.0,0.4645669291338582,0.3957349291675079,83
Alexander Shevchenko,25.0,29.0,54.0,0.46296296296296297,6.6,2.72,0.44846037296037294,0.6568828162578163,0.6192775970342675,0.5,1.0,0.3333333333333333,97.0,633.0,0.2440944881889764,0.3942362466583431,84
Marton Fucsovics,92.0,98.0,190.0,0.4842105263157895,5.065217391304348,2.641304347826087,0.5042062506864992,0.6566073300084928,0.601739775747858,0.2,4.0,0.3076923076923077,75.0,819.0,0.4173228346456693,0.39044400716124394,85
Hyeon Chung,64.0,51.0,115.0,0.5565217391304348,4.71875,3.09375,0.4911069938737378,0.6808207265444107,0.6210665769462709,0.5,5.0,0.5555555555555556,999.0,0.0,0.0,0.38106015413684946,86
Alex Molcan,16.0,23.0,39.0,0.41025641025641024,5.25,2.9375,0.4241443135225105,0.6595679938642124,0.6544394516886748,0.5,2.0,0.4,102.0,626.0,0.20472440944881887,0.37816704076808444,87
Kevin Anderson,123.0,83.0,206.0,0.5970873786407767,15.357723577235772,2.6747967479674797,0.44146564817296524,0.7081489529943138,0.6370100780653267,0.3,16.0,0.7272727272727273,999.0,0.0,0.0,0.3758434838094672,88
Dominic Stricker,16.0,15.0,31.0,0.5161290322580645,10.3125,2.1875,0.38485264735264735,0.7366666666666667,0.5991440889547017,0.5,3.0,0.6,999.0,0.0,0.0,0.3751082237654818,89
Damir Dzumhur,78.0,90.0,168.0,0.4642857142857143,3.2948717948717947,3.1923076923076925,0.5266629166679774,0.5875190819875723,0.6356929659713101,0.4,4.0,0.4,103.0,604.0,0.19685039370078738,0.37083564661444224,90
Tomas Berdych,108.0,55.0,163.0,0.6625766871165644,8.74074074074074,2.212962962962963,0.5176962183906628,0.6642564033189033,0.5741460016323847,0.3,4.0,0.5714285714285714,999.0,0.0,0.0,0.3704560885789051,91
Marsel Ilhan,12.0,10.0,22.0,0.5454545454545454,8.666666666666666,2.25,0.49132326007326005,0.6720328282828283,0.5961271354475398,0.5,1.0,0.5,999.0,0.0,0.0,0.36953144078144073,92
